term	Df	Sum Sq	Mean Sq	F	N.Perm	Pr(>F)	distance
Groups	2	0.002612663615285555	0.0013063318076427775	0.0321372758577814	999	0.967	Bray-Curtis
Residuals	102	4.1461462063313155	0.04064849221893446	NA	NA	NA	Bray-Curtis
Groups	2	42.00505702263176	21.00252851131588	1.4317018376025952	999	0.243	Aitchison
Residuals	102	1496.3017102370006	14.669624610166673	NA	NA	NA	Aitchison
