metabolite_id	comparison	metadata	value	beta	standard_error	p_value	q_value	n_samples	method	direction	feature	coef	stderr	N	N.not.0	pval	qval	original_metabolite_id
C8p_QI2453	UC_vs_non_IBD	model_group	UC	4.4219103321079	0.95246242212759	2.37181887134756e-5	0.0102532313759378	56	Maaslin2_LM_LOG	higher_in_case_group	C8p_QI2453	4.4219103321079	0.95246242212759	56	56	2.37181887134756e-5	0.0102532313759378	C8p_QI2453
C8p_QI10300	UC_vs_non_IBD	model_group	UC	2.5681405663998502	0.553203390991126	2.37425758386889e-5	0.0102532313759378	56	Maaslin2_LM_LOG	higher_in_case_group	C8p_QI10300	2.5681405663998502	0.553203390991126	56	56	2.37425758386889e-5	0.0102532313759378	C8p_QI10300
C8p_QI3250	UC_vs_non_IBD	model_group	UC	4.5231204214258	0.975261428636049	2.41067466418767e-5	0.0103600463710042	56	Maaslin2_LM_LOG	higher_in_case_group	C8p_QI3250	4.5231204214258	0.975261428636049	56	56	2.41067466418767e-5	0.0103600463710042	C8p_QI3250
C18n_QI4691	UC_vs_non_IBD	model_group	UC	5.69204803205857	1.22859541963631	2.45122498746306e-5	0.010436521937819	56	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI4691	5.69204803205857	1.22859541963631	56	56	2.45122498746306e-5	0.010436521937819	C18n_QI4691
HILp_QI6785	UC_vs_non_IBD	model_group	UC	2.71959827063418	0.587156840589635	2.46098207912793e-5	0.0104412993348769	56	Maaslin2_LM_LOG	higher_in_case_group	HILp_QI6785	2.71959827063418	0.587156840589635	56	56	2.46098207912793e-5	0.0104412993348769	HILp_QI6785
C18n_QI425	UC_vs_non_IBD	model_group	UC	-2.14030180845828	0.463044580267087	2.54274274607075e-5	0.0107286152073089	56	Maaslin2_LM_LOG	lower_in_case_group	C18n_QI425	-2.14030180845828	0.463044580267087	56	56	2.54274274607075e-5	0.0107286152073089	C18n_QI425
C18n_QI379	UC_vs_non_IBD	model_group	UC	2.98766584487551	0.646990034342908	2.58160317414455e-5	0.0108389684934448	56	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI379	2.98766584487551	0.646990034342908	56	56	2.58160317414455e-5	0.0108389684934448	C18n_QI379
HILp_QI2072	UC_vs_non_IBD	model_group	UC	3.88031072095133	0.840821556650572	2.60717248876045e-5	0.0109084457784061	56	Maaslin2_LM_LOG	higher_in_case_group	HILp_QI2072	3.88031072095133	0.840821556650572	56	56	2.60717248876045e-5	0.0109084457784061	HILp_QI2072
C18n_QI8077	UC_vs_non_IBD	model_group	UC	6.84431691997528	1.48468838511258	2.65173550969832e-5	0.0110566398055759	56	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI8077	6.84431691997528	1.48468838511258	56	56	2.65173550969832e-5	0.0110566398055759	C18n_QI8077
C18n_QI2444	UC_vs_non_IBD	model_group	UC	3.98981479695974	0.866352439186313	2.6939540800281e-5	0.0111940735205786	56	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI2444	3.98981479695974	0.866352439186313	56	56	2.6939540800281e-5	0.0111940735205786	C18n_QI2444
HILp_QI7858	UC_vs_non_IBD	model_group	UC	6.21251964074915	1.35304896346023	2.82370145317435e-5	0.0116889434316314	56	Maaslin2_LM_LOG	higher_in_case_group	HILp_QI7858	6.21251964074915	1.35304896346023	56	56	2.82370145317435e-5	0.0116889434316314	HILp_QI7858
HILn_QI21794	UC_vs_non_IBD	model_group	UC	-3.77179816468504	0.821788758268372	2.84062487233478e-5	0.0116889434316314	56	Maaslin2_LM_LOG	lower_in_case_group	HILn_QI21794	-3.77179816468504	0.821788758268372	56	56	2.84062487233478e-5	0.0116889434316314	HILn_QI21794
