term	Df	SumOfSqs	R2	F	Pr(>F)	distance
Model	2	0.5467034625062777	0.03141724438708426	1.6542514869856209	0.051	Bray-Curtis
Residual	102	16.854678268191588	0.9685827556129165	NA	NA	Bray-Curtis
Total	104	17.401381730697853	1	NA	NA	Bray-Curtis
Model	2	1480.4300391872462	0.036169673982516616	1.9138777057683967	0.003	Aitchison
Residual	102	39449.71602469058	0.9638303260174835	NA	NA	Aitchison
Total	104	40930.146063877815	1	NA	NA	Aitchison
