metabolite_id	missingness
C8p_QI29311	1
C8p_QI17132	1
HILn_QI32493	1
HILn_QI32174	1
HILp_QI2352	1
C18n_QI97	0.9974226804123711
C18n_QI13468	0.9974226804123711
C8p_QI14772	0.9974226804123711
C8p_QI16491	0.9974226804123711
C8p_QI11639	0.9974226804123711
C8p_QI20753	0.9974226804123711
C8p_QI16029	0.9974226804123711
C8p_QI21792	0.9974226804123711
C8p_QI5869	0.9974226804123711
HILn_QI30341	0.9974226804123711
HILn_QI547	0.9974226804123711
HILn_QI32367	0.9974226804123711
HILn_QI30365	0.9974226804123711
HILn_QI29174	0.9974226804123711
HILn_QI31415	0.9974226804123711
HILp_QI10339	0.9974226804123711
HILp_QI7994	0.9974226804123711
C18n_QI2650	0.9948453608247423
C18n_QI10194	0.9948453608247423
C18n_QI1703	0.9948453608247423
C18n_QI10195	0.9948453608247423
C8p_QI29038	0.9948453608247423
C8p_QI22412	0.9948453608247423
C8p_QI27881	0.9948453608247423
C8p_QI16320	0.9948453608247423
C8p_QI28218	0.9948453608247423
C8p_QI14182	0.9948453608247423
C8p_QI29833	0.9948453608247423
C8p_QI24144	0.9948453608247423
C8p_QI26986	0.9948453608247423
C8p_QI27882	0.9948453608247423
C8p_QI16690	0.9948453608247423
C8p_QI18713	0.9948453608247423
C8p_QI18712	0.9948453608247423
C8p_QI13019	0.9948453608247423
C8p_QI14367	0.9948453608247423
C8p_QI24816	0.9948453608247423
C8p_QI3653	0.9948453608247423
C8p_QI8221	0.9948453608247423
HILn_QI29681	0.9948453608247423
HILn_QI28823	0.9948453608247423
HILn_QI31080	0.9948453608247423
HILn_QI28656	0.9948453608247423
HILn_QI30896	0.9948453608247423
HILn_QI32503	0.9948453608247423
HILn_QI32430	0.9948453608247423
HILn_QI28655	0.9948453608247423
HILn_QI29694	0.9948453608247423
HILn_QI32510	0.9948453608247423
HILn_QI29972	0.9948453608247423
HILn_QI32619	0.9948453608247423
HILn_QI32655	0.9948453608247423
HILn_QI32287	0.9948453608247423
HILn_QI32240	0.9948453608247423
HILn_QI32453	0.9948453608247423
HILn_QI29923	0.9948453608247423
HILn_QI355	0.9948453608247423
HILn_QI31642	0.9948453608247423
HILn_QI30482	0.9948453608247423
HILn_QI31776	0.9948453608247423
HILn_QI29961	0.9948453608247423
HILn_QI32419	0.9948453608247423
HILn_QI5199	0.9948453608247423
HILp_QI14210	0.9948453608247423
HILp_QI14211	0.9948453608247423
HILp_QI2345	0.9948453608247423
HILp_QI19903	0.9948453608247423
HILp_QI22373	0.9948453608247423
C18n_QI13928	0.9922680412371134
C18n_QI13929	0.9922680412371134
C18n_QI10923	0.9922680412371134
C8p_QI12411	0.9922680412371134
C8p_QI2789	0.9922680412371134
C8p_QI14125	0.9922680412371134
C8p_QI21380	0.9922680412371134
C8p_QI23354	0.9922680412371134
C8p_QI24923	0.9922680412371134
C8p_QI23360	0.9922680412371134
C8p_QI20926	0.9922680412371134
C8p_QI24796	0.9922680412371134
C8p_QI21889	0.9922680412371134
C8p_QI23155	0.9922680412371134
C8p_QI27203	0.9922680412371134
C8p_QI12946	0.9922680412371134
C8p_QI23403	0.9922680412371134
C8p_QI27462	0.9922680412371134
C8p_QI29221	0.9922680412371134
C8p_QI29360	0.9922680412371134
C8p_QI18858	0.9922680412371134
C8p_QI19019	0.9922680412371134
C8p_QI25940	0.9922680412371134
C8p_QI26405	0.9922680412371134
C8p_QI22408	0.9922680412371134
C8p_QI24047	0.9922680412371134
C8p_QI27604	0.9922680412371134
C8p_QI24894	0.9922680412371134
C8p_QI28383	0.9922680412371134
C8p_QI25060	0.9922680412371134
C8p_QI12898	0.9922680412371134
C8p_QI29012	0.9922680412371134
C8p_QI15034	0.9922680412371134
C8p_QI15491	0.9922680412371134
C8p_QI13862	0.9922680412371134
HILn_QI31099	0.9922680412371134
HILn_QI32646	0.9922680412371134
HILn_QI294	0.9922680412371134
HILn_QI30018	0.9922680412371134
HILn_QI32585	0.9922680412371134
HILn_QI32467	0.9922680412371134
HILn_QI28636	0.9922680412371134
HILn_QI31078	0.9922680412371134
HILn_QI468	0.9922680412371134
HILn_QI29715	0.9922680412371134
HILn_QI28489	0.9922680412371134
HILn_QI26870	0.9922680412371134
HILn_QI29995	0.9922680412371134
HILn_QI32534	0.9922680412371134
HILn_QI27249	0.9922680412371134
HILn_QI25151	0.9922680412371134
HILn_QI28722	0.9922680412371134
HILn_QI32644	0.9922680412371134
HILn_QI28133	0.9922680412371134
HILn_QI30160	0.9922680412371134
HILn_QI27048	0.9922680412371134
HILn_QI28013	0.9922680412371134
HILn_QI22272	0.9922680412371134
HILn_QI8879	0.9922680412371134
HILp_QI22112	0.9922680412371134
HILp_QI1227	0.9922680412371134
HILp_QI11598	0.9922680412371134
HILp_QI14173	0.9922680412371134
HILp_QI2779	0.9922680412371134
HILp_QI583	0.9922680412371134
HILp_QI1053	0.9922680412371134
HILp_QI1054	0.9922680412371134
HILp_QI19874	0.9922680412371134
HILp_QI19880	0.9922680412371134
C18n_TF7	0.9896907216494846
C18n_QI13930	0.9896907216494846
C8p_QI2263	0.9896907216494846
C8p_QI14432	0.9896907216494846
C8p_QI24795	0.9896907216494846
C8p_QI14776	0.9896907216494846
C8p_QI7246	0.9896907216494846
C8p_QI20848	0.9896907216494846
C8p_QI16156	0.9896907216494846
C8p_QI23691	0.9896907216494846
C8p_QI16994	0.9896907216494846
C8p_QI18389	0.9896907216494846
C8p_QI25019	0.9896907216494846
C8p_QI29440	0.9896907216494846
C8p_QI25869	0.9896907216494846
C8p_QI26342	0.9896907216494846
C8p_QI16602	0.9896907216494846
C8p_QI23038	0.9896907216494846
C8p_QI26304	0.9896907216494846
C8p_QI22783	0.9896907216494846
C8p_QI23518	0.9896907216494846
C8p_QI19468	0.9896907216494846
C8p_QI19793	0.9896907216494846
C8p_QI26341	0.9896907216494846
C8p_QI25886	0.9896907216494846
C8p_QI27691	0.9896907216494846
C8p_QI18223	0.9896907216494846
C8p_QI23759	0.9896907216494846
C8p_QI29013	0.9896907216494846
C8p_QI27278	0.9896907216494846
C8p_QI28630	0.9896907216494846
C8p_QI21858	0.9896907216494846
C8p_QI24385	0.9896907216494846
C8p_QI24468	0.9896907216494846
C8p_QI27297	0.9896907216494846
C8p_QI24046	0.9896907216494846
C8p_QI12833	0.9896907216494846
C8p_QI15411	0.9896907216494846
C8p_QI16598	0.9896907216494846
C8p_QI26274	0.9896907216494846
C8p_QI13285	0.9896907216494846
C8p_QI20050	0.9896907216494846
C8p_QI15998	0.9896907216494846
C8p_QI368	0.9896907216494846
C8p_QI702	0.9896907216494846
C8p_QI821	0.9896907216494846
C8p_QI1094	0.9896907216494846
C8p_QI17483	0.9896907216494846
C8p_QI14690	0.9896907216494846
C8p_QI29279	0.9896907216494846
HILn_QI243	0.9896907216494846
