metabolite_id	comparison	metadata	value	beta	standard_error	p_value	q_value	n_samples	method	direction	feature	coef	stderr	N	N.not.0	pval	qval	original_metabolite_id	abs_beta	q_value_safe	p_value_safe	selection_source	metabolite_label
C18n_QI1728	UC_vs_non_IBD	model_group	UC	-5.71167097775273	0.973018499536377	3.08609727837451e-7	8.411507227375e-4	56	Maaslin2_LM_LOG	lower_in_case_group	C18n_QI1728	-5.71167097775273	0.973018499536377	56	56	3.08609727837451e-7	8.411507227375e-4	C18n_QI1728	5.71167097775273	8.411507227375e-4	3.08609727837451e-7	FDR_lt_0.10	C18n QI1728
C18n_QI2448	UC_vs_non_IBD	model_group	UC	4.60045925413048	0.784241734561987	3.1303678958623e-7	8.411507227375e-4	56	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI2448	4.60045925413048	0.784241734561987	56	56	3.1303678958623e-7	8.411507227375e-4	C18n_QI2448	4.60045925413048	8.411507227375e-4	3.1303678958623e-7	FDR_lt_0.10	C18n QI2448
HILn_QI1594	UC_vs_non_IBD	model_group	UC	6.10292463983173	1.04231819656339	3.25741249919037e-7	8.4371353084536e-4	56	Maaslin2_LM_LOG	higher_in_case_group	HILn_QI1594	6.10292463983173	1.04231819656339	56	56	3.25741249919037e-7	8.4371353084536e-4	HILn_QI1594	6.10292463983173	8.4371353084536e-4	3.25741249919037e-7	FDR_lt_0.10	HILn QI1594
C18n_QI1309	UC_vs_non_IBD	model_group	UC	3.25165393861542	0.555625033325343	3.29182043631355e-7	8.4371353084536e-4	56	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI1309	3.25165393861542	0.555625033325343	56	56	3.29182043631355e-7	8.4371353084536e-4	C18n_QI1309	3.25165393861542	8.4371353084536e-4	3.29182043631355e-7	FDR_lt_0.10	C18n QI1309
C18n_QI742	UC_vs_non_IBD	model_group	UC	4.03791826070238	0.690540809812387	3.34923249479626e-7	8.4371353084536e-4	56	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI742	4.03791826070238	0.690540809812387	56	56	3.34923249479626e-7	8.4371353084536e-4	C18n_QI742	4.03791826070238	8.4371353084536e-4	3.34923249479626e-7	FDR_lt_0.10	C18n QI742
C18n_QI1326	UC_vs_non_IBD	model_group	UC	4.90951693965037	0.842485679742733	3.60150997740022e-7	8.7097476689455e-4	56	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI1326	4.90951693965037	0.842485679742733	56	56	3.60150997740022e-7	8.7097476689455e-4	C18n_QI1326	4.90951693965037	8.7097476689455e-4	3.60150997740022e-7	FDR_lt_0.10	C18n QI1326
C18n_QI382	IBD_vs_non_IBD	model_group	IBD	3.04197877397388	0.510579365159121	3.75390850073838e-8	9.0783021618456e-4	105	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI382	3.04197877397388	0.510579365159121	105	105	3.75390850073838e-8	9.0783021618456e-4	C18n_QI382	3.04197877397388	9.0783021618456e-4	3.75390850073838e-8	FDR_lt_0.10	C18n QI382
C18n_QI413	UC_vs_non_IBD	model_group	UC	-3.59113595417353	0.619344499395329	4.00197382255502e-7	9.3059744360713e-4	56	Maaslin2_LM_LOG	lower_in_case_group	C18n_QI413	-3.59113595417353	0.619344499395329	56	56	4.00197382255502e-7	9.3059744360713e-4	C18n_QI413	3.59113595417353	9.3059744360713e-4	4.00197382255502e-7	FDR_lt_0.10	C18n QI413
C8p_QI6409	IBD_vs_non_IBD	model_group	IBD	4.83408297632639	0.81859526318699	4.75946048867352e-8	9.5917407228237e-4	105	Maaslin2_LM_LOG	higher_in_case_group	C8p_QI6409	4.83408297632639	0.81859526318699	105	105	4.75946048867352e-8	9.5917407228237e-4	C8p_QI6409	4.83408297632639	9.5917407228237e-4	4.75946048867352e-8	FDR_lt_0.10	C8p QI6409
HILp_QI1232	UC_vs_non_IBD	model_group	UC	7.40457538348872	1.2826318351787	4.38586728834034e-7	9.8144331333198e-4	56	Maaslin2_LM_LOG	higher_in_case_group	HILp_QI1232	7.40457538348872	1.2826318351787	56	56	4.38586728834034e-7	9.8144331333198e-4	HILp_QI1232	7.40457538348872	9.8144331333198e-4	4.38586728834034e-7	FDR_lt_0.10	HILp QI1232
